Mês,Quantidade de Vagas Abertas no Mês,,,Motivo de Abertura da Vaga ,,,,Quantidade de Vagas Fechadas no Mês ,,,Motivo de Abertura da Vaga Fechada  ,,,,Quantidade de Vagas Pausadas e/ou Canceladas no Mês,,,Tempo médio de Fechamento das vagas  ,Tempo médio das Vagas Abertas ,Fonte dos Cantidados Contratados ,,,,
,Legado ,Abertas no mês vigente ,Total,Substituição ,Aumento de Quadro ,Alocação I Projeto Especifico ,Total,Legado,Abertas no mês vigente ,Total,Substituição ,Aumento de Quadro ,Alocação I Projeto Especifico ,Total,Pausadas,Canceladas ,Total,,,Indicação ,Candidatura,Hunting ,Terceirizada,Interna
Janeiro,33,12,45,6,6,,12,7,3,10,4,6,,10,,,,32,77,2,7,,,1
Fevereiro,35,11,46,1,10,,11,1,1,2,,2,,2,38,,38,25,109,,2,,,
Março ,6,2,8,2,,,2,4,1,5,2,3,,5,,20,20,55,98,2,2,1,,
Abril ,10,,,,,,,,,,,,,,,,,,,,,,,
Maio ,,,,,,,,,,,,,,,,,,,,,,,,
Junho ,,,,,,,,,,,,,,,,,,,,,,,,
Julho ,,,,,,,,,,,,,,,,,,,,,,,,
Agosto ,,,,,,,,,,,,,,,,,,,,,,,,
Setembro ,,,,,,,,,,,,,,,,,,,,,,,,
Outubro ,,,,,,,,,,,,,,,,,,,,,,,,
Novembro ,,,,,,,,,,,,,,,,,,,,,,,,
Dezembro ,,,,,,,,,,,,,,,,,,,,,,,,
2025                                                                                                     2025                                                                                   2025,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro,29,29,58,9,20,,29,8,2,10,3,7,,10,,6,6,35 dias ,34 dias,1,5,3,,1
Fevereiro,42,17,59,8,9,,17,13,3,16,7,9,,16,,5,5,25 dias ,42 dias ,2,7,2,2,3
Março ,38,5,43,2,3,,5,8,,8,4,4,,8,,3,3,40 dias,57 dias,,7,,1,
Abril ,32,15,47,4,11,,15,11,1,12,6,6,,12,,0,0,64 dias ,50 dias,3,7,,2,
Maio ,35,10,45,7,3,,10,12,2,14,4,10,,14,,1,1,33 dias ,62 dias ,2,10,1,,1
Junho ,30,7,37,5,2,,7,7,2,9,4,5,,9,,7,7,25 dias ,75 dias,2,4,3,,
Julho ,21,6,27,5,1,,6,4,1,5,2,3,,5,,2,2,44 dias,85 dias,1,3,1,,
Agosto ,20,8,28,3,5,,8,4,2,6,5,1,,6,,0,0,27 dias ,94 dias,1,4,,,1
Setembro ,22,7,29,4,2,1,7,4,2,6,1,5,,6,,3,3,50 dias ,99 dias ,,4,2,,
Outubro ,20,19,39,7,11,1,19,3,5,8,5,2,1,8,,1,1,47 dias ,71 dias ,1,4,2,1,
Novembro ,30,10,40,7,3,,10,8,3,11,6,5,,11,,1,1,51 dias ,68 dias,1,7,2,,1
Dezembro ,28,11,39,1,10,,11,4,2,6,2,4,,6,,0,0,32 dias ,77 dias ,3,2,1,,
2024                                                                                                     2024                                                                                    2024,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro,14,10,24,5,5,,10,8,4,12,8,4,,12,,,,22 dias úteis ,27 dias úteis ,,,,,
Fevereiro,12,3,15,1,2,,3,4,0,4,4,0,,4,,,,33 dias úteis ,35 dias úteis ,,,,,
Março ,11,8,19,4,4,,8,2,0,2,0,2,,2,,,,24 dias úteis,39 dias úteis ,,,,,
Abril ,17,8,25,4,4,,8,6,3,9,8,1,,9,,,,40 dias úteis ,39 dias úteis ,,,,,
Maio ,16,17,33,7,2,8,17,5,1,6,3,3,,6,1,,1,47 dias úteis ,31 dias úteis ,,,,,
Junho ,26,13,39,5,8,,13,4,1,5,3,,2,5,,5,5,26 dias úteis ,50 dias úteis ,1,1,3,,
Julho ,29,20,49,14,5,1,20,9,4,13,8,5,,13,3,1,3,32 dias úteis ,36 dias úteis ,4,3,3,1,
Agosto ,33,23,56,12,10,1,23,9,4,13,8,4,1,13,,4,4,34 dias úteis ,34 dias úteis ,4,8,1,,
Setembro ,39,16,55,6,9,1,16,2,9,11,8,3,,11,,2,2,48 dias úteis ,37 dias úteis ,1,6,3,1,
Outubro ,42,16,58,10,6,,16,11,6,17,7,10,,17,,2,2,40 dias úties ,,2,10,1,4,
Novembro ,40,46,86,6,40,,46,12,7,19,7,12,,19,,4,4,,,,,,,
Dezembro ,66,8,74,1,7,,8,34,6,40,6,34,,40,,4,4,,,6,32,2,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,18,60,13,6,